,Timestamp,F_score,Accuracy,loss,batch_size,learning_rate,Training_DATASET,Continue_with_last_saved_model
4,2020-10-28 16:04:22.718446,0.7905532767899495,0.7865792020647382,268.8734,400,0.001,OPPORTUNITY - 18 classes,True
5,2020-10-28 16:04:47.566429,0.7099273690960296,0.6752123884288633,269.34903,400,0.001,OPPORTUNITY - 18 classes,True
6,2020-10-28 16:05:12.697165,0.6959879606696769,0.6790407570706528,268.62155,400,0.001,OPPORTUNITY - 18 classes,True
7,2020-10-28 16:05:37.970996,0.7834485154533712,0.7729433272394881,266.333,400,0.001,OPPORTUNITY - 18 classes,True
8,2020-10-28 16:06:03.598959,0.6891017104753606,0.6717926658780514,266.33893,400,0.001,OPPORTUNITY - 18 classes,True
9,2020-10-28 16:06:29.058250,0.7806142276475495,0.7708570814066028,265.7181,400,0.001,OPPORTUNITY - 18 classes,True
10,2020-10-28 16:06:54.777143,0.7511601067108963,0.7366383482094849,268.3093,400,0.001,OPPORTUNITY - 18 classes,True
11,2020-10-28 16:07:20.358879,0.7967832539284311,0.7892676631895903,265.09106,400,0.001,OPPORTUNITY - 18 classes,True
12,2020-10-28 16:07:46.493735,0.7507402189087868,0.7394558554683299,264.85706,400,0.001,OPPORTUNITY - 18 classes,True
13,2020-10-28 16:08:12.162873,0.8192075073923503,0.8131196902892784,265.10138,400,0.001,OPPORTUNITY - 18 classes,True
14,2020-10-28 16:08:37.724666,0.5802967555099708,0.5574147757823422,270.77567,400,0.001,OPPORTUNITY - 18 classes,True
15,2020-10-28 16:09:03.648317,0.7890682864575279,0.7751586192063663,269.84213,400,0.001,OPPORTUNITY - 18 classes,True
16,2020-10-28 16:09:30.275931,0.6920826659316741,0.6722658350360253,268.49142,400,0.001,OPPORTUNITY - 18 classes,True
17,2020-10-28 16:09:56.502429,0.7699863287709575,0.7489837616948058,265.48364,400,0.001,OPPORTUNITY - 18 classes,True
18,2020-10-28 16:10:22.753609,0.7435973778996054,0.729218195504893,268.71902,400,0.001,OPPORTUNITY - 18 classes,True
19,2020-10-28 16:10:48.876922,0.7331471972753354,0.708054629530057,264.27087,400,0.001,OPPORTUNITY - 18 classes,True
20,2020-10-28 16:11:14.735871,0.7816573399932811,0.7742337885794172,263.9197,400,0.001,OPPORTUNITY - 18 classes,True
21,2020-10-28 16:11:40.934115,0.7794152904644881,0.7642327131949672,264.86853,400,0.001,OPPORTUNITY - 18 classes,True
22,2020-10-28 16:12:07.410766,0.7555966698945005,0.7417786858802021,264.6487,400,0.001,OPPORTUNITY - 18 classes,True
23,2020-10-28 16:12:33.377261,0.8004695473947471,0.7906441552855146,264.41937,400,0.001,OPPORTUNITY - 18 classes,True
24,2020-10-28 16:12:59.346990,0.7569064965928503,0.7377137326594257,266.20175,400,0.001,OPPORTUNITY - 18 classes,True
25,2020-10-28 16:13:25.263599,0.7541609089620596,0.7395203785353264,269.41345,400,0.001,OPPORTUNITY - 18 classes,True
26,2020-10-28 16:13:51.414520,0.7257516348533531,0.702290568878374,268.94968,400,0.001,OPPORTUNITY - 18 classes,True
27,2020-10-28 16:14:17.372055,0.7498964017953186,0.7345736100655984,267.61795,400,0.001,OPPORTUNITY - 18 classes,True
28,2020-10-28 16:14:43.534911,0.7492617337204531,0.7312399182707818,268.40463,400,0.001,OPPORTUNITY - 18 classes,True
29,2020-10-28 16:15:09.630626,0.7370451994845942,0.714872566942682,268.3918,400,0.001,OPPORTUNITY - 18 classes,True
30,2020-10-28 16:15:35.784823,0.7621289571355265,0.747564254220884,272.2009,400,0.001,OPPORTUNITY - 18 classes,True
31,2020-10-28 16:16:01.786572,0.665854298631114,0.6327347026561996,275.5389,400,0.001,OPPORTUNITY - 18 classes,True
32,2020-10-28 16:16:27.917707,0.7987850523431921,0.7974405850091407,274.49368,400,0.001,OPPORTUNITY - 18 classes,True
33,2020-10-28 16:16:54.306525,0.37928246197380366,0.3872889558016991,276.66327,400,0.001,OPPORTUNITY - 18 classes,True
34,2020-10-28 16:17:20.660574,0.7584657123753366,0.7434777933111087,268.24524,400,0.001,OPPORTUNITY - 18 classes,True
35,2020-10-28 16:17:47.150229,0.6652380628738315,0.641036670609743,268.88736,400,0.001,OPPORTUNITY - 18 classes,True
36,2020-10-28 16:18:12.539451,0.76715149948344,0.7399935476933004,270.0622,400,0.001,OPPORTUNITY - 18 classes,True
37,2020-10-28 16:18:38.252484,0.6410432496434008,0.6199806430799011,271.8642,400,0.001,OPPORTUNITY - 18 classes,True
38,2020-10-28 16:19:04.033776,0.7733941037860219,0.7561243144424131,267.658,400,0.001,OPPORTUNITY - 18 classes,True
39,2020-10-28 16:19:29.987269,0.7370525083125036,0.7215614582213141,266.6741,400,0.001,OPPORTUNITY - 18 classes,True
40,2020-10-28 16:19:55.403145,0.8106433419861824,0.8036778148187977,263.14154,400,0.001,OPPORTUNITY - 18 classes,True
41,2020-10-28 16:20:21.922097,0.7429454599617977,0.7323153027207226,261.99652,400,0.001,OPPORTUNITY - 18 classes,True
42,2020-10-28 16:20:48.401629,0.8161466883050078,0.8132487364232713,263.28506,400,0.001,OPPORTUNITY - 18 classes,True
43,2020-10-28 16:21:14.357069,0.7095396853043703,0.6831487256694269,264.15997,400,0.001,OPPORTUNITY - 18 classes,True
44,2020-10-28 16:21:40.735554,0.8136365302589492,0.8121948596623293,264.57193,400,0.001,OPPORTUNITY - 18 classes,True
45,2020-10-28 16:22:06.848198,0.7030524335683578,0.6782664802666953,264.0602,400,0.001,OPPORTUNITY - 18 classes,True
